iter	Logloss
0	0.6131284077
1	0.5498539435
2	0.5065279402
3	0.4723218447
4	0.4454373518
5	0.424706274
6	0.4089155982
7	0.3975873992
8	0.3888490018
9	0.3800027068
10	0.3726564215
11	0.3673151458
12	0.3635281597
13	0.3595561202
14	0.3564327781
15	0.3540177923
16	0.3517586661
17	0.3501928946
18	0.3485896006
19	0.347227371
20	0.3464960849
21	0.3455620064
22	0.3446055314
23	0.3439917848
24	0.3434745364
25	0.3428359904
26	0.3422621808
27	0.341882053
28	0.3414835929
29	0.3411913321
30	0.3407313855
31	0.3403991455
32	0.3402093195
33	0.3398718693
34	0.3397116689
35	0.3394431995
36	0.3392486813
37	0.3390673789
38	0.3388693486
39	0.3387547093
40	0.3385761796
41	0.3383751274
42	0.3382040894
43	0.3381298209
44	0.3380035323
45	0.337891585
46	0.3377947085
47	0.3377077558
48	0.3376330386
49	0.3375601809
50	0.3374700797
51	0.3373744447
52	0.3372749877
53	0.337188379
54	0.3371108007
55	0.337026626
56	0.336949036
57	0.3368676796
58	0.3367651299
59	0.3366872709
60	0.3366124279
61	0.3365640279
62	0.3364931871
63	0.3364299097
64	0.336342503
65	0.3362960641
66	0.3362435165
67	0.3362071267
68	0.3361282216
69	0.3360701751
70	0.3360061089
71	0.335968973
72	0.3358976404
73	0.3358374106
74	0.3358051764
75	0.3357542264
76	0.3357182028
77	0.3356733499
78	0.3356424883
79	0.3355882316
80	0.3355442935
81	0.3354932476
82	0.3354434187
83	0.3353965484
84	0.3353220223
85	0.3352735061
86	0.3352427937
87	0.3352036094
88	0.3351481349
89	0.3350957004
90	0.3350370752
91	0.3349870017
92	0.3349526968
93	0.3349009271
94	0.3348732591
95	0.3348271127
96	0.3347760261
97	0.3347211387
98	0.3346957353
99	0.3346387372
100	0.3345879238
101	0.3345443723
102	0.3345086813
103	0.3344717982
104	0.3344194661
105	0.334375111
106	0.334330884
107	0.334267745
108	0.3342125668
109	0.3341671324
110	0.3341312637
111	0.3340815259
112	0.3340318756
113	0.3340019562
114	0.3339712916
115	0.3339287369
116	0.3338826201
117	0.3338484705
118	0.3337930911
119	0.3337629311
120	0.3337374525
121	0.3337009361
122	0.3336620234
123	0.3336183031
124	0.333565667
125	0.3335414592
126	0.3335145785
127	0.3334749677
128	0.3334275677
129	0.3333792682
130	0.3333326791
131	0.3332947496
132	0.3332534936
133	0.3332209337
134	0.3331846421
135	0.3331529926
136	0.3331132356
137	0.3330797836
138	0.3330359011
139	0.3329928565
140	0.3329503126
141	0.3328934215
142	0.332871187
143	0.3328321422
144	0.3327931938
145	0.3327435852
146	0.3327065752
147	0.332678927
148	0.3326483806
149	0.3326145717
150	0.3325699695
151	0.3325364913
152	0.3324909348
153	0.3324621437
154	0.3324150904
155	0.3323871759
156	0.3323521682
157	0.3323308676
158	0.3323072714
159	0.3322659601
160	0.3322235819
161	0.3321715604
162	0.3321293214
163	0.3320873298
164	0.3320610305
165	0.332023127
166	0.3319957438
167	0.3319488382
168	0.3319182027
169	0.331887055
170	0.3318601854
171	0.3318263932
172	0.3318081437
173	0.3317852676
174	0.3317515734
175	0.3317215171
176	0.3316840282
177	0.3316526301
178	0.3316079235
179	0.3315828393
180	0.3315379935
181	0.3315140909
182	0.331480897
183	0.3314617123
184	0.3314223414
185	0.3313979555
186	0.331376135
187	0.3313347727
188	0.3313196591
189	0.3312867234
190	0.3312526833
191	0.3312192492
192	0.331192048
193	0.3311652933
194	0.3311309694
195	0.3311056595
196	0.3310826318
197	0.3310408436
198	0.3310032991
199	0.33098003
200	0.3309604018
201	0.3309319037
202	0.3308928317
203	0.3308705485
204	0.3308279077
205	0.3307871355
206	0.3307511251
207	0.3307216421
208	0.330683203
209	0.3306551401
210	0.3306365248
211	0.3306070349
212	0.3305709435
213	0.3305250114
214	0.330503331
215	0.3304688788
216	0.330435329
217	0.3303939179
218	0.3303712308
219	0.3303450771
220	0.3303164924
221	0.3302966044
222	0.3302712686
223	0.3302317605
224	0.3301933938
225	0.3301653768
226	0.330142041
227	0.330122078
228	0.3300885264
229	0.3300486755
230	0.3300236126
231	0.3299826966
232	0.3299614962
233	0.3299204742
234	0.3298807781
235	0.3298386262
236	0.3298237256
237	0.3297898877
238	0.3297544869
239	0.3297305562
240	0.3297003275
241	0.3296585275
242	0.329639097
243	0.3296189301
244	0.3295825948
245	0.3295538072
246	0.329523606
247	0.3295036911
248	0.3294646885
249	0.3294319563
250	0.3294064879
251	0.3293817587
252	0.3293639617
253	0.3293479667
254	0.3293222681
255	0.3292928037
256	0.329262109
257	0.3292302878
258	0.3291888357
259	0.3291715082
260	0.329150141
261	0.3291237761
262	0.3291007727
263	0.329084098
264	0.3290684944
265	0.3290223688
266	0.3289969396
267	0.3289649632
268	0.3289342044
269	0.3289149112
270	0.3288893608
271	0.3288549287
272	0.3288228554
273	0.3288098563
274	0.3287771813
275	0.3287552706
276	0.3287139037
277	0.3286845635
278	0.3286599493
279	0.3286339202
280	0.328596682
281	0.3285595153
282	0.3285358731
283	0.3285190891
284	0.3284909835
285	0.3284605501
286	0.3284552488
287	0.328433842
288	0.3284096334
289	0.3283774065
290	0.3283583372
291	0.3283395929
292	0.3283169031
293	0.3282903562
294	0.3282621639
295	0.3282441595
296	0.3282157698
297	0.3281932765
298	0.3281567413
299	0.3281332497
300	0.3281136874
301	0.3280811512
302	0.328059035
303	0.3280351658
304	0.3280143129
305	0.3279886693
306	0.327971488
307	0.3279524852
308	0.3279432992
309	0.3279099013
310	0.3278845952
311	0.3278601333
312	0.3278365962
313	0.3277988562
314	0.3277810548
315	0.3277461491
316	0.3277114335
317	0.3276919504
318	0.3276775397
319	0.3276448116
320	0.3276057354
321	0.32757654
322	0.3275654955
323	0.3275417128
324	0.3275067606
325	0.3274882021
326	0.3274532504
327	0.3274207227
328	0.3274074228
329	0.3273773032
330	0.3273539554
331	0.3273219751
332	0.3272899058
333	0.3272737336
334	0.3272545744
335	0.3272300446
336	0.3272099115
337	0.3271802489
338	0.3271491839
339	0.3271208911
340	0.3271006518
341	0.3270587553
342	0.327028867
343	0.3270012523
344	0.3269765186
345	0.3269570252
346	0.3269325378
347	0.3269078579
348	0.3268777961
349	0.3268522746
350	0.326823904
351	0.3268060933
352	0.3267786076
353	0.3267669228
354	0.3267415359
355	0.3267184436
356	0.3267011181
357	0.3266778434
358	0.3266643429
359	0.3266476817
360	0.3266124424
361	0.3265806299
362	0.326563796
363	0.3265329215
364	0.3265010943
365	0.3264854078
366	0.3264672517
367	0.3264440471
368	0.3264072351
369	0.3263757218
370	0.326351934
371	0.3263156485
372	0.3262898201
373	0.3262717307
374	0.3262294212
375	0.3262031323
376	0.3261834797
377	0.3261483683
378	0.3261243701
379	0.3261015444
380	0.3260903809
381	0.3260600626
382	0.3260292844
383	0.3260041747
384	0.3259822892
385	0.3259610269
386	0.3259528917
387	0.3259216283
388	0.3258965549
389	0.3258770605
390	0.3258444994
391	0.3258278042
392	0.3258089681
393	0.3257949967
394	0.3257669066
395	0.3257421765
396	0.3257387713
397	0.3257131618
398	0.3256888722
399	0.3256726992
400	0.3256647095
401	0.3256317474
402	0.3256055094
403	0.3255839751
404	0.3255530953
405	0.3255292739
406	0.325497772
407	0.3254844621
408	0.3254696416
409	0.3254516865
410	0.3254236604
411	0.3254211779
412	0.3253860875
413	0.3253613204
414	0.3253398152
415	0.3253069935
416	0.3252969505
417	0.3252815639
418	0.3252405071
419	0.3252100732
420	0.3251755684
421	0.3251720065
422	0.3251373378
423	0.3251116194
424	0.3250941295
425	0.3250694116
426	0.3250511362
427	0.3250146318
428	0.324991578
429	0.3249710144
430	0.3249487148
431	0.3249145247
432	0.3248960146
433	0.3248762637
434	0.3248512424
435	0.3248302598
436	0.3248100864
437	0.3247882028
438	0.3247602794
439	0.3247457125
440	0.3247193992
441	0.3246984321
442	0.3246740206
443	0.3246635312
444	0.3246466488
445	0.3246315394
446	0.3246068191
447	0.3245764268
448	0.3245497708
449	0.3245221425
450	0.3244978068
451	0.3244785311
452	0.3244598581
453	0.3244386693
454	0.3244290533
455	0.3244193684
456	0.3244031959
457	0.3243782483
458	0.3243575296
459	0.3243415433
460	0.3243311285
461	0.3243177957
462	0.3243001394
463	0.3242888687
464	0.3242685798
465	0.3242552011
466	0.3242484262
467	0.3242344952
468	0.3242026014
469	0.3241600335
470	0.3241328145
471	0.3240978718
472	0.3240879665
473	0.3240854513
474	0.3240769267
475	0.3240595629
476	0.3240297038
477	0.3240050426
478	0.3239921109
479	0.3239887879
480	0.323974549
481	0.32394111
482	0.3239060431
483	0.3238817079
484	0.3238620389
485	0.3238433464
486	0.3238356705
487	0.3238111255
488	0.3237994982
489	0.323769059
490	0.3237518215
491	0.3237344576
492	0.323718089
493	0.323702887
494	0.3236937008
495	0.3236606543
496	0.3236425026
497	0.3236229091
498	0.3236120794
499	0.3236026459
500	0.3235830168
501	0.3235735235
502	0.3235471952
503	0.3235086367
504	0.3234782991
505	0.3234450616
506	0.3234280986
507	0.3234117568
508	0.3233880822
509	0.3233536148
510	0.3233446682
511	0.3233201174
512	0.3232975381
513	0.3232833181
514	0.3232532536
515	0.3232487529
516	0.3232347304
517	0.3232173468
518	0.3231866263
519	0.3231620763
520	0.3231475779
521	0.3231302524
522	0.3231036004
523	0.323075331
524	0.323064253
525	0.3230356613
526	0.3230196547
