iter	Passed	Remaining
0	318	318234
1	456	227741
2	555	184754
3	621	154662
4	699	139160
5	981	162557
6	1154	163732
7	1305	161857
8	1412	155520
9	1502	148748
10	1572	141403
11	1634	134557
12	1691	128419
13	1763	124230
14	1854	121809
15	1918	117970
16	1982	114612
17	2051	111897
18	2123	109662
19	2193	107484
20	2248	104843
21	2320	103150
22	2385	101323
23	2448	99567
24	2510	97892
25	2570	96303
26	2631	94821
27	2693	93517
28	2749	92070
29	2815	91042
30	2876	89910
31	2935	88795
32	2994	87759
33	3060	86946
34	3118	85991
35	3180	85154
36	3246	84508
37	3308	83746
38	3373	83116
39	3439	82536
40	3503	81942
41	3568	81390
42	3628	80745
43	3684	80046
44	3742	79424
45	3806	78933
46	3861	78290
47	3903	77421
48	3952	76707
49	3999	75988
50	4047	75324
51	4095	74673
52	4145	74080
53	4198	73558
54	4254	73097
55	4308	72622
56	4350	71975
57	4399	71455
58	4446	70917
59	4494	70407
60	4541	69903
61	4591	69460
62	4637	68979
63	4691	68618
64	4740	68192
65	4788	67762
66	4839	67389
67	4897	67117
68	4944	66715
69	4992	66330
70	5041	65961
71	5113	65906
72	5166	65606
73	5223	65366
74	5283	65163
75	5336	64886
76	5390	64613
77	5436	64267
78	5491	64018
79	5544	63761
80	5604	63589
81	5660	63371
82	5728	63287
83	5792	63160
84	5850	62977
85	5906	62769
86	5950	62442
87	6000	62182
88	6048	61910
89	6095	61632
90	6144	61379
91	6192	61119
92	6243	60886
93	6297	60700
94	6339	60390
95	6387	60149
96	6438	59939
97	6491	59752
98	6538	59508
99	6585	59270
100	6626	58980
101	6674	58765
102	6726	58576
103	6772	58345
104	6822	58154
105	6870	57946
106	6920	57753
107	6965	57529
108	7012	57318
109	7053	57071
110	7105	56910
111	7152	56707
112	7199	56516
113	7251	56359
114	7308	56239
115	7373	56193
116	7435	56113
117	7480	55915
118	7532	55769
119	7577	55568
120	7623	55381
121	7672	55220
122	7724	55074
123	7771	54904
124	7839	54874
125	7887	54712
126	7935	54546
127	7986	54410
128	8034	54245
129	8083	54094
130	8133	53951
131	8182	53807
132	8231	53656
133	8278	53503
134	8328	53361
135	8376	53217
136	8423	53059
137	8472	52921
138	8518	52765
139	8565	52617
140	8610	52459
141	8659	52325
142	8708	52190
143	8761	52082
144	8809	51948
145	8858	51815
146	8914	51730
147	8962	51594
148	9010	51460
149	9057	51325
150	9105	51195
151	9169	51158
152	9265	51295
153	9336	51292
154	9390	51194
155	9443	51093
156	9493	50976
157	9540	50839
158	9593	50741
159	9642	50625
160	9692	50506
161	9737	50371
162	9779	50216
163	9837	50148
164	9895	50078
165	9950	49994
166	10007	49917
167	10055	49798
168	10118	49756
169	10186	49736
170	10254	49715
171	10315	49659
172	10381	49627
173	10439	49557
174	10493	49469
175	10546	49375
176	10600	49287
177	10649	49179
178	10693	49048
179	10738	48919
180	10790	48823
181	10838	48712
182	10887	48605
183	10932	48485
184	10981	48379
185	11028	48262
186	11094	48235
187	11166	48229
188	11230	48191
189	11290	48134
190	11351	48081
191	11410	48017
192	11468	47953
193	11532	47914
194	11597	47876
195	11669	47869
196	11735	47833
197	11796	47779
198	11856	47722
199	11923	47693
200	11981	47626
201	12045	47586
202	12106	47531
203	12163	47463
204	12226	47415
205	12285	47351
206	12346	47298
207	12408	47246
208	12474	47212
209	12530	47137
210	12593	47093
211	12679	47127
212	12757	47136
213	12822	47097
214	12878	47022
215	12932	46940
216	12993	46884
217	13059	46846
218	13119	46787
219	13177	46720
220	13237	46660
221	13297	46601
222	13361	46554
223	13423	46502
224	13479	46429
225	13539	46371
226	13605	46329
227	13672	46293
228	13735	46244
229	13800	46202
230	13857	46132
231	13912	46055
232	13971	45991
233	14047	45986
234	14105	45917
235	14165	45858
236	14224	45793
237	14282	45729
238	14343	45672
239	14406	45619
240	14461	45545
241	14522	45488
242	14581	45425
243	14639	45357
244	14699	45299
245	14771	45275
246	14829	45208
247	14891	45155
248	14953	45101
249	15020	45060
250	15077	44991
251	15126	44899
252	15187	44842
253	15256	44807
254	15317	44751
255	15381	44702
256	15448	44661
257	15505	44592
258	15575	44561
259	15630	44485
260	15691	44428
261	15762	44401
262	15827	44353
263	15932	44416
264	16099	44653
265	16301	44981
266	16487	45263
267	16641	45452
268	16870	45844
269	16933	45782
270	16999	45730
271	17075	45702
272	17144	45655
273	17210	45602
274	17275	45545
275	17350	45513
276	17570	45861
277	17897	46480
278	18068	46693
279	18195	46789
280	18281	46776
281	18374	46783
282	18466	46785
283	18631	46973
284	18821	47220
285	18917	47227
286	18980	47154
287	19040	47072
288	19098	46986
289	19155	46898
290	19218	46824
291	19279	46745
292	19361	46719
293	19437	46676
294	19498	46598
295	19555	46509
296	19616	46431
297	19674	46346
298	19736	46271
299	19793	46184
300	19856	46112
301	19914	46026
302	19981	45963
303	20027	45853
304	20080	45756
305	20131	45657
306	20183	45561
307	20241	45476
308	20327	45457
309	20493	45615
310	20603	45645
311	20708	45665
312	20824	45707
313	20976	45828
314	21088	45858
315	21209	45909
316	21341	45982
317	21453	46010
318	21643	46203
319	21751	46222
320	21842	46203
321	21934	46185
322	21996	46105
323	22053	46011
324	22101	45903
325	22148	45792
326	22217	45725
327	22372	45835
328	22473	45835
329	22563	45811
330	22638	45756
331	22686	45645
332	22763	45594
333	22859	45581
334	22975	45608
335	23082	45614
336	23173	45590
337	23268	45573
338	23380	45588
339	23431	45485
340	23508	45430
341	23594	45394
342	23663	45325
343	23719	45232
344	23769	45127
345	23818	45021
346	23874	44927
347	23934	44843
348	23990	44750
349	24038	44643
350	24090	44543
351	24145	44449
352	24197	44350
353	24245	44244
354	24297	44145
355	24348	44045
356	24410	43966
357	24457	43859
358	24509	43762
359	24561	43665
360	24611	43564
361	24662	43465
362	24710	43361
363	24760	43263
364	24809	43162
365	24867	43076
366	24917	42977
367	24973	42889
368	25023	42791
369	25074	42694
370	25122	42593
371	25167	42487
372	25216	42387
373	25266	42290
374	25308	42181
375	25361	42088
376	25407	41986
377	25453	41884
378	25504	41790
379	25564	41710
380	25612	41612
381	25665	41521
382	25715	41427
383	25768	41337
384	25820	41246
385	25870	41152
386	25918	41053
387	25968	40960
388	26018	40866
389	26064	40767
390	26112	40671
391	26163	40580
392	26218	40495
393	26265	40397
394	26315	40306
395	26370	40221
396	26429	40143
397	26484	40058
398	26538	39973
399	26592	39889
400	26638	39792
401	26689	39701
402	26743	39617
403	26792	39525
404	26845	39440
405	26896	39351
406	26949	39265
407	27023	39211
408	27088	39143
409	27151	39071
410	27212	38997
411	27270	38920
412	27334	38850
413	27427	38822
414	27620	38935
415	27741	38945
416	27829	38907
417	27921	38876
418	27987	38808
419	28050	38735
420	28113	38663
421	28173	38587
422	28249	38533
423	28313	38464
424	28371	38385
425	28434	38313
426	28498	38243
427	28570	38183
428	28716	38222
429	28885	38290
430	28958	38230
431	29043	38187
432	29166	38192
433	29248	38144
